Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2185-Authorization.json	2046	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2453-Authorization.json	2005	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	9	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2536-Authorization.json	2072	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2561-Authorization.json	2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	1	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2620-Authorization.json	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0
fsh-generated/resources/ChargeItemDefinition-ChargeItemDefinition-SA2628-Authorization.json	2008	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	13	0	0	0	0	0	0
fsh-generated/resources/Medication-50003171000117108.json	3309	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Medication-50014861000117106.json	3234	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/Medication-50021691000117107.json	3500	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Medication-50021721000117104.json	3296	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Medication-50021991000117100.json	3185	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Medication-50038111000117102.json	3542	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Medication-50046921000117106.json	3432	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	1	0	0	0	0
